2025-12-03 02:29:49 status half-configured libdebconfclient0:amd64 0.281
2025-12-03 02:29:49 status installed libdebconfclient0:amd64 0.281
2025-12-03 02:29:49 configure base-files:amd64 1:2025.4.0 <none>
2025-12-03 02:29:49 status unpacked base-files:amd64 1:2025.4.0
2025-12-03 02:29:49 status half-configured base-files:amd64 1:2025.4.0
2025-12-03 02:29:49 status installed base-files:amd64 1:2025.4.0
2025-12-03 02:29:49 configure libbz2-1.0:amd64 1.0.8-6 <none>
2025-12-03 02:29:49 status unpacked libbz2-1.0:amd64 1.0.8-6
2025-12-03 02:29:49 status half-configured libbz2-1.0:amd64 1.0.8-6
2025-12-03 02:29:49 status installed libbz2-1.0:amd64 1.0.8-6
2025-12-03 02:29:49 configure libbsd0:amd64 0.12.2-2 <none>
2025-12-03 02:29:49 status unpacked libbsd0:amd64 0.12.2-2
2025-12-03 02:29:49 status half-configured libbsd0:amd64 0.12.2-2
2025-12-03 02:29:49 status installed libbsd0:amd64 0.12.2-2
2025-12-03 02:29:49 configure libblkid1:amd64 2.41.2-4 <none>
